round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
78,26.849412,950.1466,0.0,0.0713,97.3,0.0,12.818,0.0,23.72
79,25.230325,910.4677,0.0,0.0706,99.06,0.0,12.84,0.0,27.97
80,25.929467,927.173,0.0,0.0704,99.21,0.0,12.828,0.0,31.36
81,25.456283,968.7241,0.0,0.07,98.45,0.0,12.86,0.0,26.91
82,24.913856,882.8756,0.0,0.07,98.14,0.0,12.827,0.0,26.39
83,26.23067,1055.3469,0.0,0.0699,97.92,0.0,12.894,0.0,29.88
84,25.435485,1009.3022,0.0,0.0695,98.0,0.0,12.882,0.0,30.66
85,25.737409,997.0986,0.0,0.0688,98.2,0.0,12.84,0.0,28.52
86,25.186911,1041.8753,0.0,0.0689,97.27,0.0,12.874,0.0,30.75
87,25.394093,940.2529,0.0,0.0687,94.23,0.0,12.862,0.0,23.39
88,25.282823,1041.4612,0.0,0.0685,94.2,0.0,12.134,0.0,23.43
89,24.56732,1132.8859,0.0,0.0676,94.22,0.0,12.126,0.0,22.67
90,24.049153,1019.6942,0.0,0.0677,93.57,0.0,12.907,0.0,23.18
91,23.765126,982.8032,0.0,0.0671,84.58,0.0,12.126,0.0,15.97
92,23.681614,1181.2292,0.0,0.0671,66.77,0.0,12.13,0.0,15.17
93,23.491042,1154.8418,0.0,0.0662,47.51,0.0,12.131,0.0,14.76
94,24.000195,999.2364,0.0,0.0659,40.55,0.0,12.125,0.0,14.42
95,24.129473,1057.4835,0.0,0.0659,40.49,0.0,12.198,0.0,14.4
96,24.095089,968.8886,0.0,0.0662,40.3,0.0,12.313,0.0,14.43
97,23.517512,1019.6689,0.0,0.0657,40.14,0.0,12.129,0.0,13.86
98,22.914578,1017.8411,0.0,0.0647,41.04,0.0,20.218,0.0,14.33
99,22.371396,1030.3054,0.0,0.0651,40.91,0.0,12.129,0.0,13.57
100,22.720896,930.3617,0.0,0.0651,40.45,0.0,12.125,0.0,13.95
101,22.292368,946.4965,0.0,0.0648,40.64,0.0,12.134,0.0,13.91
102,21.76558,1083.6131,0.0,0.0639,40.55,0.0,12.118,0.0,14.06
103,21.701951,966.0683,0.0,0.0633,48.67,0.0,22.517,0.0,15.34
104,21.213955,1004.0727,0.0,0.0632,98.44,0.0,12.853,0.0,25.45
105,21.008884,1065.4527,0.0,0.0629,98.59,0.0,12.841,0.0,32.99
106,20.505393,1074.3775,0.0,0.0621,98.43,0.0,12.817,0.0,28.28
107,20.422589,1008.381,0.0,0.0623,98.53,0.0,12.826,0.0,34.08
