robot_id,fl_round,training_step,reward,success_rate_rolling10,policy_entropy,status,eval_return,eval_episode_len,eval_success
robot_000,73,72001,898.085,1.0,0.0834,eval,898.085,280.3,1.0
robot_000,74,73001,915.205,1.0,0.08,eval,915.205,285.0,1.0
robot_000,75,74001,940.804,1.0,0.0781,eval,940.804,293.0,1.0
robot_000,76,75001,923.049,1.0,0.0791,eval,923.049,287.7,1.0
robot_000,77,76001,995.266,1.0,0.0775,eval,995.266,310.0,1.0
robot_000,78,77001,939.465,1.0,0.081,eval,939.465,291.7,1.0
robot_000,79,78001,955.192,1.0,0.0803,eval,955.192,297.3,1.0
robot_000,80,79001,1030.691,1.0,0.0776,eval,1030.691,323.0,1.0
robot_000,81,80001,1091.236,1.0,0.0786,eval,1091.236,340.0,1.0
robot_000,82,81001,1199.64,1.0,0.0811,eval,1199.64,374.7,1.0
robot_000,83,82001,1098.454,1.0,0.0805,eval,1098.454,343.0,1.0
robot_000,84,83001,1130.601,1.0,0.0803,eval,1130.601,349.7,1.0
robot_000,85,84001,1245.945,1.0,0.0802,eval,1245.945,385.7,1.0
robot_000,86,85001,1236.691,1.0,0.0772,eval,1236.691,380.7,1.0
robot_000,87,86001,1252.483,1.0,0.0751,eval,1252.483,384.3,1.0
robot_000,88,87001,1043.912,1.0,0.0758,eval,1043.912,328.0,1.0
robot_000,89,88001,1126.368,1.0,0.0753,eval,1126.368,348.7,1.0
robot_000,90,89001,1012.783,1.0,0.0717,eval,1012.783,320.0,1.0
robot_000,91,90001,1118.657,1.0,0.0712,eval,1118.657,348.3,1.0
robot_000,92,91001,993.098,1.0,0.07,eval,993.098,312.3,1.0
robot_000,93,92001,1016.61,1.0,0.0676,eval,1016.61,321.3,1.0
robot_000,94,93001,1051.239,1.0,0.0668,eval,1051.239,330.7,1.0
robot_000,95,94001,1039.105,1.0,0.0666,eval,1039.105,327.3,1.0
robot_000,96,95001,1175.622,1.0,0.0666,eval,1175.622,363.7,1.0
robot_000,97,96001,1202.903,1.0,0.0651,eval,1202.903,370.3,1.0
robot_000,98,97001,1098.402,1.0,0.0661,eval,1098.402,341.3,1.0
robot_000,99,98001,1079.47,1.0,0.0637,eval,1079.47,336.0,1.0
robot_000,100,99001,1149.067,1.0,0.0636,eval,1149.067,355.3,1.0
robot_000,101,100001,1190.225,1.0,0.0653,eval,1190.225,367.7,1.0
robot_000,102,101001,1085.496,1.0,0.0638,eval,1085.496,336.3,1.0
robot_000,103,102001,1140.626,1.0,0.0637,eval,1140.626,352.3,1.0
robot_000,104,103001,1356.26,1.0,0.0654,eval,1356.26,407.3,1.0
robot_000,105,104001,1309.371,1.0,0.0629,eval,1309.371,396.3,1.0
robot_000,106,105001,1594.318,1.0,0.0606,eval,1594.318,480.3,1.0
robot_000,107,106001,1685.369,1.0,0.061,eval,1685.369,511.7,1.0
robot_000,108,107001,1744.303,1.0,0.0594,eval,1744.303,527.0,1.0
robot_000,109,108001,1811.306,1.0,0.0582,eval,1811.306,550.0,1.0
robot_000,110,109001,1592.99,1.0,0.0586,eval,1592.99,481.7,1.0
robot_000,111,110001,1713.059,1.0,0.0609,eval,1713.059,518.0,1.0
robot_000,112,111001,1548.474,1.0,0.0589,eval,1548.474,470.3,1.0
robot_000,113,112001,1751.524,1.0,0.0594,eval,1751.524,537.0,1.0
robot_000,114,113001,2374.254,1.0,0.0589,eval,2374.254,719.7,1.0
robot_000,115,114001,1786.21,1.0,0.0571,eval,1786.21,535.3,1.0
robot_000,116,115001,2433.05,1.0,0.0551,eval,2433.05,729.3,1.0
robot_000,117,116001,2004.242,1.0,0.0547,eval,2004.242,602.7,1.0
robot_000,118,117001,2688.568,1.0,0.0537,eval,2688.568,807.0,1.0
robot_000,119,118001,2052.232,1.0,0.052,eval,2052.232,615.3,1.0
robot_000,120,119001,2161.3,1.0,0.052,eval,2161.3,646.3,1.0
robot_000,121,120001,2319.29,1.0,0.0503,eval,2319.29,695.7,1.0
robot_000,122,121001,2905.41,1.0,0.0526,eval,2905.41,876.7,1.0
robot_000,123,122001,3208.866,1.0,0.0519,eval,3208.866,1000.0,1.0
robot_000,124,123001,2439.804,1.0,0.0539,eval,2439.804,737.7,1.0
robot_000,125,124001,3184.413,1.0,0.0532,eval,3184.413,978.3,1.0
robot_000,126,125001,3220.543,1.0,0.0532,eval,3220.543,980.3,1.0
robot_000,127,126001,2554.099,1.0,0.0517,eval,2554.099,795.7,1.0
robot_000,128,127001,2866.175,1.0,0.0514,eval,2866.175,886.7,1.0
