round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
78,17.379443,851.9322,0.0,0.0628,36.13,0.0,27.082,0.0,227.85
79,17.550711,822.8641,0.0,0.0628,35.81,0.0,18.61,0.0,49.29
80,17.51335,859.5358,0.0,0.0626,36.05,0.0,21.439,0.0,108.98
81,17.412326,805.7247,0.0,0.0622,36.29,0.0,19.314,0.0,55.25
82,17.334367,840.798,0.0,0.0621,36.44,0.0,20.029,0.0,81.67
83,17.404987,809.7791,0.0,0.0627,36.27,0.0,20.718,0.0,78.88
84,17.019672,895.1916,0.0,0.0636,36.27,0.0,27.142,0.0,228.44
85,17.324576,888.3837,0.0,0.0628,36.15,0.0,27.791,0.0,231.08
86,17.7206,926.5416,0.0,0.0629,33.2,0.0,33.48,0.0,369.71
87,17.73387,930.6942,0.0,0.063,36.17,0.0,68.164,0.0,1108.62
88,17.043672,835.518,0.0,0.0628,27.22,0.0,19.317,0.0,52.31
89,17.449789,825.2259,0.0,0.0628,35.77,0.0,19.324,0.0,59.21
90,16.765859,893.7334,0.0,0.0616,77.22,0.0,43.101,0.0,69.69
91,15.86669,925.1035,0.0,0.0594,99.32,0.0,35.985,0.0,131.94
92,17.230218,976.8449,0.0,0.0622,99.06,0.0,33.249,0.0,82.66
93,17.351322,961.309,0.0,0.0609,95.93,0.0,37.481,0.0,161.88
94,17.244258,1224.2944,0.0,0.062,99.44,0.0,33.259,0.0,75.72
95,16.46952,1106.7213,0.0,0.0611,98.11,0.0,22.366,0.0,128.87
96,17.26219,1006.3268,0.0,0.0609,97.04,0.0,22.251,0.0,114.04
97,17.409326,987.1926,0.0,0.0611,99.48,0.0,20.756,0.0,93.71
98,17.531222,890.6067,0.0,0.0615,66.89,0.0,112.375,0.0,654.26
99,17.441397,855.7403,0.0,0.0616,33.96,0.0,19.354,0.0,49.51
100,16.900533,935.8728,0.0,0.0618,35.79,0.0,54.178,0.0,804.42
101,17.602961,1099.7531,0.0,0.0609,35.63,0.0,28.577,0.0,253.04
102,16.670268,1027.7101,0.0,0.0607,36.03,0.0,39.88,0.0,493.84
103,16.413636,967.1821,0.0,0.0612,34.59,0.0,39.451,0.0,481.42
104,15.85854,948.6541,0.0,0.0604,33.66,0.0,18.62,0.0,48.98
105,15.297649,1085.2767,0.0,0.0607,36.44,0.0,19.557,0.0,53.66
106,15.601032,1028.1516,0.0,0.06,35.42,0.0,21.453,0.0,104.75
107,16.176963,1153.9412,0.0,0.0609,37.38,0.0,44.88,0.0,599.49
108,16.639131,1116.5244,0.0,0.0601,55.7,0.0,19.315,0.0,50.52
109,16.657202,956.7537,0.0,0.0597,63.25,0.0,49.334,0.0,472.9
110,16.448974,1141.6169,0.0,0.0591,97.45,0.0,27.24,0.0,222.04
111,16.187951,1054.0663,0.0,0.059,99.11,0.0,20.746,0.0,89.23
112,16.163045,991.1178,0.0,0.0589,98.56,0.0,24.304,0.0,173.48
