round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
78,20.238651,751.2976,0.0,0.0688,27.63,0.0,62.389,0.0,987.95
79,20.739257,881.8827,0.0,0.0685,27.72,0.0,19.475,0.0,53.39
80,20.654096,751.2354,0.0,0.0677,27.85,0.0,19.341,0.0,51.7
81,20.862237,853.7545,0.0,0.0681,39.09,0.0,18.621,0.0,45.56
82,20.300003,869.1944,0.0,0.0685,57.61,0.0,42.611,0.0,552.62
83,20.620237,877.1807,0.0,0.0676,57.39,0.0,18.624,0.0,52.11
84,20.150911,896.9144,0.0,0.067,56.98,0.0,20.177,0.0,71.76
85,20.039949,897.9535,0.0,0.0658,58.1,0.0,20.004,0.0,67.45
86,19.768057,790.2695,0.0,0.0664,55.49,0.0,42.002,0.0,534.84
87,19.824724,834.2743,0.0,0.0656,24.1,0.0,45.456,0.0,615.14
88,19.029815,858.8064,0.0,0.0653,27.46,0.0,26.414,0.0,204.45
89,19.354299,781.2774,0.0,0.0646,27.41,0.0,19.42,0.0,63.5
90,18.72882,799.3831,0.0,0.0647,24.11,0.0,42.703,0.0,37.31
91,18.634225,811.3751,0.0,0.064,25.98,0.0,42.761,0.0,38.97
92,20.048524,982.1041,0.0,0.0637,25.79,0.0,36.339,0.0,34.13
93,20.128749,1076.8411,0.0,0.0648,26.29,0.0,29.796,0.0,31.64
94,20.50691,1080.9937,0.0,0.0649,22.44,0.0,29.817,0.0,39.04
95,19.511031,1088.1894,0.0,0.0634,27.39,0.0,19.464,0.0,60.55
96,18.568365,988.5575,0.0,0.0638,27.57,0.0,26.392,0.0,216.16
97,19.099617,922.1299,0.0,0.0634,27.4,0.0,18.622,0.0,50.77
98,18.667198,943.3905,0.0,0.0639,27.62,0.0,27.809,0.0,229.86
99,18.682357,973.9031,0.0,0.0637,26.14,0.0,19.352,0.0,62.6
100,19.31097,976.4395,0.0,0.064,27.39,0.0,27.932,0.0,237.87
101,18.382173,1074.9271,0.0,0.0626,27.74,0.0,56.765,0.0,847.24
102,17.928239,1021.728,0.0,0.0622,27.52,0.0,22.148,0.0,127.18
103,17.62401,1085.1304,0.0,0.0619,27.54,0.0,19.332,0.0,53.29
104,17.560093,923.1443,0.0,0.062,27.36,0.0,18.638,0.0,53.43
105,17.079509,918.0219,0.0,0.0619,26.99,0.0,18.783,0.0,50.46
106,17.505316,950.8992,0.0,0.0614,27.6,0.0,33.47,0.0,361.08
107,16.788073,845.5672,0.0,0.0611,27.79,0.0,19.366,0.0,59.59
108,16.898632,964.3371,0.0,0.0608,57.51,0.0,19.309,0.0,58.69
109,15.995684,932.176,0.0,0.0607,57.69,0.0,19.309,0.0,54.0
110,16.174169,992.284,0.0,0.0601,56.78,0.0,19.47,0.0,52.04
111,16.114734,1050.1749,0.0,0.0597,57.45,0.0,19.333,0.0,63.97
112,15.957332,1054.3215,0.0,0.059,56.65,0.0,57.182,0.0,856.61
113,15.565039,1102.6252,0.0,0.0588,26.98,0.0,18.638,0.0,52.66
114,16.598797,966.0703,0.0,0.0587,26.92,0.0,19.337,0.0,54.18
115,15.896558,968.1886,0.0,0.0579,22.9,0.0,57.689,0.0,863.18
116,17.233121,1053.4622,0.0,0.0574,27.34,0.0,18.637,0.0,48.84
117,16.389317,876.7114,0.0,0.0573,27.51,0.0,55.482,0.0,828.22
118,16.801492,847.7566,0.0,0.0571,27.43,0.0,19.342,0.0,58.28
119,15.703907,908.4001,0.0,0.0579,25.45,0.0,34.209,0.0,364.79
120,16.3609,959.0383,0.0,0.0574,21.94,0.0,34.001,0.0,42.67
121,14.952425,1063.7564,0.0,0.0562,23.66,0.0,29.839,0.0,34.28
122,16.281759,1069.3771,0.0,0.0561,25.09,0.0,34.546,0.0,51.92
123,16.391872,1043.6041,0.0,0.057,25.36,0.0,33.831,0.0,41.09
124,16.238153,1044.9798,0.0,0.0568,25.16,0.0,30.567,0.0,43.01
125,15.194152,1119.1321,0.0,0.0565,26.3,0.0,40.084,0.0,492.87
126,16.040385,971.1477,0.0,0.056,27.23,0.0,19.357,0.0,62.68
127,16.180065,1253.2316,0.0,0.0556,26.51,0.0,47.759,0.0,655.89
128,15.717503,1316.4304,0.0,0.0546,57.17,0.0,18.638,0.0,53.09
129,15.821982,1207.752,0.0,0.0548,56.58,0.0,59.091,0.0,876.36
130,15.791427,1108.8786,0.0,0.0544,52.48,0.0,22.339,0.0,112.83
131,15.644535,1138.7613,0.0,0.0546,26.62,0.0,19.336,0.0,51.87
132,15.203261,1358.3279,0.0,0.0546,26.43,0.0,18.637,0.0,53.68
133,15.392908,1026.2204,0.0,0.0541,26.26,0.0,19.344,0.0,51.23
134,14.669028,1397.7365,0.0,0.0537,26.95,0.0,58.48,0.0,881.76
135,14.852981,1474.9362,0.0,0.0535,25.58,0.0,22.358,0.0,128.91
136,15.074416,1345.5813,0.0,0.0528,26.4,0.0,19.346,0.0,61.99
137,14.982078,1412.5512,0.0,0.0531,26.93,0.0,58.436,0.0,894.62
138,15.602863,1386.7461,0.0,0.0523,25.39,0.0,46.362,0.0,634.4
139,14.790729,1327.0622,0.0,0.0515,26.24,0.0,19.343,0.0,57.43
140,14.292115,1186.3428,0.0,0.051,23.77,0.0,28.461,0.0,46.25
141,14.8331,1179.7269,0.0,0.0504,19.51,0.0,28.322,0.0,44.61
142,14.670839,1214.7238,0.0,0.0502,16.51,0.0,28.306,0.0,47.16
143,14.508074,1157.3574,0.0,0.0505,22.21,0.0,28.329,0.0,37.05
144,15.394083,1125.8924,0.0,0.0505,18.13,0.0,28.348,0.0,40.36
145,15.272709,1356.7925,0.0,0.0498,26.11,0.0,30.223,0.0,284.0
146,14.329183,1290.2741,0.0,0.0504,26.87,0.0,18.657,0.0,47.06
147,13.595719,1456.0935,0.0,0.0499,26.78,0.0,24.334,0.0,170.46
148,14.361759,1277.6807,0.0,0.0494,19.63,0.0,44.992,0.0,604.89
149,13.474804,1298.7558,0.0,0.0487,57.4,0.0,19.334,0.0,49.67
150,13.485863,1267.6292,0.0,0.0483,57.48,0.0,18.812,0.0,53.5
